director_id;name
nm1009775;Greg Marcks
nm0811583;Zack Snyder
nm0005222;Sam Mendes
nm0000229;Steven Spielberg
nm0705535;Michael Radford
nm0000386;Roland Emmerich
nm0018133;Patrick Alessandrin
nm3622659;Lucia Aniello
nm0489309;Éric Lartigau
nm1989536;Marc Webb
nm0617042;Mark Mylod
nm0001466;Sergio Leone
nm0049371;Jaume Balagueró
nm0687042;Paco Plaza
nm0496312;Patrice Leconte
nm0432627;Gil Junger
nm0870469;Dan Trachtenberg
nm0005124;John Lasseter
nm0004056;Andrew Stanton
nm0001486;Sidney Lumet
nm2588606;Steve McQueen
nm0133028;Robin Campillo
nm0000965;Danny Boyle
nm0000631;Ridley Scott
nm0001149;Richard Donner
nm0824882;Burr Steers
nm0721817;Kevin Reynolds
nm0005436;John Singleton
nm0466349;Baltasar Kormákur
nm0453518;Kim Jee-woon
nm1219963;David Moreau
nm0000040;Stanley Kubrick
nm0524190;Jon Lucas
nm0601859;Scott Moore
nm0327944;Alejandro G. Iñárritu
nm0520488;Phil Lord
nm0588087;Christopher Miller
nm0294379;Juan Carlos Fresnadillo
nm1732981;Martin McDonagh
nm0629334;McG
nm0785684;Coline Serreau
nm0645661;Shin Sang-ok
nm0648902;Fabien Onteniente
nm0935095;Gary Winick
nm1720541;David Slade
nm0281508;Ruben Fleischer
nm0431918;Mike Judge
nm0545356;Olivier Marchal
nm0003506;James Mangold
nm0001565;Mike Newell
nm0612816;Cristian Mungiu
nm0031976;Judd Apatow
nm0499724;Michael Lehmann
nm0727754;Carl Rinsch
nm0001353;Walter Hill
nm0831557;Nicholas Stoller
nm0001317;Renny Harlin
nm0718645;Ivan Reitman
nm0000881;Michael Bay
nm0784061;Dominic Sena
nm0099828;Didier Bourdon
nm2131687;Héctor Cabello Reyes
nm3133017;Mehmet Ada Öztekin
nm0000436;Curtis Hanson
nm0001708;Joel Schumacher
nm0200702;Dany Boon
nm0000019;Federico Fellini
nm0001490;Adrian Lyne
nm0468007;Jan Kounen
nm0481044;Laurent Lafran
nm0890923;Bruno Vatin
nm1023919;Ramin Bahrani
nm0708903;Lynne Ramsay
nm0027572;Wes Anderson
nm5249757;Sang-yoon Lim
nm15577741;Im Sang Yoon
nm0426059;Rian Johnson
nm0893659;Gore Verbinski
nm0582635;Alan Metter
nm1108007;David Lowery
nm3235877;Ana Lily Amirpour
nm0000343;David Cronenberg
nm0919363;Chris Weitz
nm0083348;Brad Bird
nm0001532;John McTiernan
nm0000709;Robert Zemeckis
nm0001873;Steven Zaillian
nm0610831;Gabriele Muccino
nm0006854;Roger Spottiswoode
nm0225416;Ernest R. Dickerson
nm0001415;Elia Kazan
nm2376614;Alexandre Bustillo
nm2377660;Julien Maury
nm0074163;Edward Berger
nm0821844;Daniel Stamm
nm0001379;John Huston
nm0001566;Mike Nichols
nm2528690;Sara Colangelo
nm0000500;Richard Linklater
nm3094978;Srdjan Spasojevic
nm0177896;Bradley Cooper
nm0002254;King Hu
nm0855035;Andy Tennant
nm0000247;John Woo
nm0678450;Marco Petry
nm0920274;John Wells
nm0955974;Stuart Zicherman
nm3513273;Oliver Daly
nm0218022;Benoît Delépine
nm1086956;Gustave Kervern
nm0148511;Nacho Cerdá
nm2366012;Matt Bettinelli-Olpin
nm2419470;Tyler Gillett
nm0191717;Jill Culton
nm1392282;Todd Wilderman
nm0689385;Jeff Pollack
nm0013041;Gabriel Aghion
nm0000116;James Cameron
nm0644203;Steve Oedekerk
nm0001723;Tom Shadyac
nm0062644;Craig R. Baxley
nm0905592;Jeff Wadlow
nm0282708;Isaac Florentine
nm0336695;James Gray
nm1767218;Lee Toland Krieger
nm0506613;Shawn Levy
nm0005069;Spike Jonze
nm0243355;Albert Dupontel
nm0684336;Steve Pink
nm0509852;Sébastien Lifshitz
nm0239001;Fabrice du Welz
nm0609549;Greg Mottola
nm0476201;Karyn Kusama
nm0178376;Scott Cooper
nm0778633;Ettore Scola
nm0796117;M. Night Shyamalan
nm0000217;Martin Scorsese
nm3226379;Kogonada
nm1033683;Agnieszka Wojtowicz-Vosloo
nm0936044;Peter Winther
nm2197777;Tom Harper
nm0295007;Rick Friedberg
nm1098493;Rawson Marshall Thurber
nm0005363;Guy Ritchie
nm0001348;Werner Herzog
nm0002089;Sidney J. Furie
nm0322515;John Glen
nm0000255;Ben Affleck
nm0001747;Charles Martin Smith
nm0552954;Richard Martin
nm0000583;Wolfgang Petersen
nm1889990;Morgan S. Dalibert
nm0960028;Katsuhiro Ôtomo
nm0886976;Felix van Groeningen
nm0166256;Ron Clements
nm0615780;John Musker
nm0832309;Tad Stones
nm0704164;Gene Quintano
nm0532235;Seth MacFarlane
nm7626019;Domee Shi
nm0180428;Joe Cornish
nm0000520;Michael Mann
nm0840905;Jan Svankmajer
nm0314671;Clyde Geronimi
nm0414144;Wilfred Jackson
nm0527217;Hamilton Luske
nm0455741;Jack Kinney
nm0000318;Tim Burton
nm0027271;Paul W.S. Anderson
nm0000466;Jean-Pierre Jeunet
nm1793079;Fede Alvarez
nm0000399;David Fincher
nm1569807;Dong-hoon Choi
nm0501256;Valérie Lemercier
nm0001675;Robert Rodriguez
nm1147848;Frédéric Berthe
nm1534600;Benny Boom
nm0625379;Gary Nelson
nm0040630;Mark Atkins
nm0496746;J. Lee Thompson
nm0002132;Amy Heckerling
nm0740568;Tom Ropelewski
nm0474955;Roger Kumble
nm0404882;John Hyams
nm0001024;Nick Cassavetes
nm0000419;Jean-Luc Godard
nm2411128;Takeru Nakajima
nm2731492;Yoshiyuki Okada
nm12557839;Shouta Kitamoto
nm0451274;Nahnatchka Khan
nm0001232;Milos Forman
nm1959639;Ryan Koo
nm0011639;Lisa Addario
nm0843467;Joe Syracuse
nm0002020;Costa-Gavras
nm0000484;John Landis
nm0919369;Paul Weitz
nm6852255;Cord Jefferson
nm0054954;Mike Barker
nm0715636;Peyton Reed
nm0000184;George Lucas
nm0443411;Tony Kaye
nm0218621;James DeMonaco
nm0065608;Walt Becker
