movie_id;actor_id;status
tt0091871;nm0599700;
tt0091871;nm0229066;
tt0091871;nm0649975;
tt0091871;nm0266352;
tt0091871;nm1376460;
tt0091871;nm1375904;
tt0059855;nm8618570;V
tt0059855;nm8618571;V
tt0059855;nm0019244;V
tt0059855;nm3271949;V
tt0059855;nm0228435;
tt0059855;nm6194428;
tt0059855;nm8618572;V
tt1289413;nm2378973;
tt1289413;nm1013341;
tt1289413;nm3124781;
tt1289413;nm3078425;
tt1289413;nm2875394;
tt1289413;nm3125155;
tt1289413;nm3125697;
tt1289413;nm3350342;
tt1289413;nm6344729;
tt1289413;nm3124997;
tt1289413;nm4017699;
tt1289413;nm6304675;
tt1289413;nm3172847;
tt1289413;nm3433193;
tt1289413;nm3012114;
tt1289413;nm3800018;
tt1289413;nm3800087;
tt1289413;nm3801988;
tt1289413;nm3111438;
tt1289413;nm3663506;
tt1289413;nm5588217;
tt1289413;nm3139057;
tt1289413;nm3125157;
tt1289413;nm5431631;
tt0049909;nm0337113;
tt0049909;nm0456696;
tt0049909;nm0001549;
tt0049909;nm0362567;
tt0049909;nm0358899;
tt0049909;nm0000558;
tt0049909;nm0697733;
tt0049909;nm0520437;
tt0049909;nm0898892;
tt0049909;nm0573791;
tt0049909;nm0839234;
tt0049909;nm0484155;
tt0049909;nm0104243;
tt0049909;nm0607986;
tt0049909;nm0838912;
tt0049909;nm1042106;
tt0049909;nm0330200;
tt0206866;nm0728476;
tt0206866;nm1523857;
tt0206866;nm0856918;
tt0206866;nm1566521;
tt0206866;nm1566334;
tt0206866;nm0542524;
tt0206866;nm0960379;
tt0206866;nm0463130;
tt0206866;nm0119312;
tt0206866;nm0936884;
tt0206866;nm0073151;
tt0206866;nm0627021;
tt0206866;nm1955116;
tt0206866;nm1956246;
tt0206866;nm1957255;
tt0206866;nm1954186;
tt0206866;nm1950968;
tt0206866;nm1955605;
tt0206866;nm0407258;
tt0206866;nm0856917;
tt0206866;nm0506143;
tt0206866;nm1324123;
tt0206866;nm1952562;
tt0206866;nm1955769;
tt0206866;nm2115221;
tt0206866;nm1955361;
tt0206866;nm1950331;
tt0206866;nm0246306;
tt0026571;nm0062828;
tt0026571;nm0269647;
tt0026571;nm0642988;
tt0026571;nm0055151;
tt0026571;nm0431889;
tt0026571;nm0241831;
tt0026571;nm0711855;
tt0026571;nm0612743;
tt0026571;nm0909043;
tt0026571;nm0518856;
tt0026571;nm0048653;
tt0026571;nm0703491;
tt0026571;nm1288577;
tt0026571;nm0789578;
tt0026571;nm0498188;
tt0026571;nm0866558;
tt0026571;nm0213047;
tt0026571;nm0920541;
tt0026571;nm0170984;
tt0026571;nm0522930;
tt0026571;nm0039062;
tt0026571;nm0541799;
tt0026571;nm0525601;
tt0026571;nm0429766;
tt1703824;nm0031483;
tt1703824;nm0805077;
tt1703824;nm0175758;
tt1703824;nm0319814;
tt1703824;nm0960276;
tt1703824;nm0845297;
tt1703824;nm1015546;
tt1703824;nm3343726;
tt1703824;nm1335996;
tt1703824;nm0414683;
tt1703824;nm0116339;
tt1703824;nm0251423;
tt1703824;nm0423772;
tt1703824;nm4440360;
tt1703824;nm0787449;
tt1703824;nm4121173;
tt1703824;nm4798495;
tt1703824;nm4798308;
tt1703824;nm2494847;
tt1703824;nm4797832;
tt1703824;nm4798250;
tt1703824;nm4798056;
tt1703824;nm0647595;
tt1703824;nm2098159;
tt0067009;nm0911093;
tt0067009;nm0862886;
tt0067009;nm2610470;
tt0067009;nm0526694;
tt0067009;nm0156460;
tt0067009;nm2463412;
tt0067009;nm2368412;
tt0067009;nm2503476;
tt0067009;nm4506194;
tt0067009;nm2637961;
tt0067009;nm2943477;
tt0067009;nm2988086;
tt0067009;nm0387396;
tt0067009;nm0369132;
tt0067009;nm3247956;
tt0067009;nm0359161;
tt0067009;nm0398773;
tt0067009;nm1073259;
tt0067009;nm0461918;
tt0067009;nm1559697;
tt0067009;nm6971619;
tt0067009;nm1517678;
tt0067009;nm1120363;
tt0067009;nm3069530;
tt0067009;nm0530842;
tt0067009;nm0788406;
tt0067009;nm1796740;
tt0067009;nm1693293;
tt0067009;nm2640598;
tt0067009;nm0600424;
tt0048412;nm0335048;
tt0048412;nm0000063;
tt0048412;nm0000843;
tt0048412;nm0336335;
tt0048412;nm0126617;
tt0048412;nm0076700;
tt0048412;nm0661577;
tt0048412;nm0797974;
tt0048412;nm0281329;
tt0048412;nm0000946;
tt0048412;nm0877185;
tt0048412;nm0856019;
tt0048412;nm0878826;
tt0048412;nm0369617;
tt0042285;nm0000011;
tt0042285;nm0000002;
tt0042285;nm0623658;
tt0042285;nm0007217;
tt0042285;nm0187981;
tt0042285;nm0313438;
tt0042285;nm0666201;
tt0042285;nm0179786;
tt0042285;nm0392067;
tt0042285;nm0356159;
tt0102788;nm0056686;
tt0102788;nm0021835;
tt0102788;nm0812556;
tt0102788;nm0225916;
tt0102788;nm0225921;
tt0102788;nm0273178;
tt0102788;nm0340317;
tt0102788;nm0348741;
tt0102788;nm0690303;
tt0102788;nm0745993;
tt0102788;nm0053543;
tt0102788;nm0169358;
tt0102788;nm0215209;
tt0102788;nm0255979;
tt0102788;nm0482378;
tt0102788;nm0760640;
tt0102788;nm0815008;
tt0102788;nm0180778;
tt0102788;nm0845935;
tt0102788;nm0029962;
