movie_id;director_id
tt0000009;nm0085156
tt0000417;nm0617588
tt0000574;nm0846879
tt0001892;nm0300487
tt0002101;nm0309130
tt0002130;nm0078205
tt0002130;nm0209738
tt0002130;nm0655824
tt0002199;nm0646058
tt0002423;nm0523932
tt0002445;nm0345500
tt0002452;nm0108345
tt0002452;nm0218404
tt0002461;nm0130633
tt0002461;nm0443857
tt0002646;nm0088881
tt0002844;nm0275421
tt0003014;nm0803705
tt0003037;nm0275421
tt0003102;nm0143333
tt0003131;nm0532622
tt0003165;nm0275421
tt0003167;nm0000428
tt0003419;nm0263912
tt0003419;nm0753233
tt0003471;nm0875869
tt0003489;nm0143333
tt0003489;nm0734958
tt0003637;nm0078116
tt0003637;nm0784988
tt0003643;nm0000428
tt0003657;nm0054977
tt0003740;nm0665163
tt0003772;nm0456804
tt0003883;nm0674600
tt0003930;nm0275421
tt0003973;nm0237713
tt0004026;nm0301961
tt0004026;nm0917467
tt0004066;nm0159725
tt0004099;nm0531759
tt0004134;nm0916665
tt0004150;nm0193327
tt0004181;nm0000428
tt0004457;nm0531759
tt0004465;nm0309163
tt0004465;nm0533289
tt0004635;nm0001124
tt0004635;nm0002177
tt0004681;nm0692105
tt0004707;nm0071658
tt0004707;nm0784407
tt0004712;nm0002031
tt0004743;nm0198523
tt0004766;nm0001124
tt0004825;nm0869665
tt0004838;nm0054977
tt0004872;nm0869665
tt0004873;nm0950148
tt0004972;nm0000428
tt0005060;nm0001124
tt0005078;nm0001124
tt0005149;nm0054977
tt0005149;nm0408436
tt0005339;nm0288616
tt0005402;nm0001124
tt0005529;nm0159725
tt0005557;nm0054977
tt0005680;nm0096705
tt0005680;nm1441208
tt0005719;nm0127511
tt0005809;nm0507150
tt0005916;nm0061955
tt0005951;nm0654581
tt0005960;nm0909825
tt0006206;nm0275421
tt0006327;nm0577654
tt0006333;nm0665737
tt0006509;nm0291387
tt0006509;nm0291548
tt0006517;nm0054977
tt0006517;nm0250445
tt0006517;nm0366689
tt0006517;nm0402489
tt0006517;nm0408436
tt0006517;nm0713787
tt0006517;nm0922304
tt0006589;nm0936767
tt0006617;nm0803705
tt0006688;nm0127511
tt0006731;nm0291387
tt0006731;nm0291548
tt0006736;nm0245385
tt0006745;nm0291387
tt0006745;nm0291548
tt0006753;nm0245385
tt0006780;nm0366586
tt0006780;nm0807742
tt0006780;nm0842521
tt0006809;nm0256221
tt0006826;nm0408937
tt0006864;nm0000428
tt0006886;nm0275421
tt0007047;nm0694260
