movie_id;prod_id
tt0000009;co0014292
tt0000417;co0015284
tt0000574;co0039730
tt0000574;co0110345
tt0001892;co0130359
tt0002101;co0027544
tt0002130;co0036854
tt0002130;co0087545
tt0002199;co0003271
tt0002423;co0035583
tt0002445;co0020261
tt0002452;co0188321
tt0002461;co0036246
tt0002461;co0046748
tt0002461;co0100244
tt0002646;co0060132
tt0002844;co0059061
tt0003014;co0088098
tt0003037;co0059061
tt0003102;co0087555
tt0003131;co0017194
tt0003165;co0059061
tt0003167;co0042995
tt0003167;co0086336
tt0003419;co0064793
tt0003471;co0081887
tt0003489;co0110915
tt0003637;co0073118
tt0003643;co0042995
tt0003657;co0055516
tt0003740;co0054159
tt0003772;co0036767
tt0003883;co0059061
tt0003930;co0059061
tt0003973;co0026198
tt0004026;co0064793
tt0004066;co0095175
tt0004099;co0093005
tt0004134;co0129725
tt0004150;co0055904
tt0004181;co0027744
tt0004457;co0093005
tt0004465;co0130355
tt0004635;co0057677
tt0004681;co0036767
tt0004707;co0040700
tt0004712;co0379123
tt0004743;co0069862
tt0004766;co0057677
tt0004825;co0000634
tt0004838;co0055516
tt0004872;co0037830
tt0004873;co0033959
tt0004972;co0159923
tt0004972;co0186074
tt0005060;co0057677
tt0005078;co0057677
tt0005149;co0055516
tt0005149;co0100242
tt0005339;co0028775
tt0005402;co0057677
tt0005529;co0095175
tt0005557;co0055516
tt0005680;co0034634
tt0005680;co0054159
tt0005719;co0013790
tt0005809;co0028775
tt0005916;co0071565
tt0005951;co0020261
tt0005960;co0028775
tt0006206;co0059061
tt0006327;co0057677
tt0006333;co0049690
tt0006509;co0013790
tt0006517;co0007705
tt0006589;co0013790
tt0006617;co0088098
tt0006688;co0013790
tt0006731;co0013790
tt0006736;co0013790
tt0006745;co0013790
tt0006753;co0013790
tt0006780;co0055516
tt0006780;co0100242
tt0006809;co0013790
tt0006826;co0013790
tt0006864;co0041895
tt0006864;co0046754
tt0006886;co0059061
tt0007047;co0013790
tt0007257;co0013790
tt0007260;co0055516
tt0007260;co0100242
tt0007309;co0035583
tt0007338;co0079753
tt0007340;co0048238
tt0007361;co0036767
tt0007367;co0013790
tt0007522;co0088098
tt0007558;co0048238
tt0007558;co0134936
tt0007610;co0048238
tt0007755;co0048238
tt0007801;co0028775
tt0008011;co0026024
tt0008100;co0060132
tt0008150;co0023400
tt0008188;co0064360
tt0008196;co0064360
tt0008279;co0036246
tt0008279;co0069735
tt0008309;co0047185
tt0008395;co0057823
tt0008443;co0048546
tt0008489;co0137880
tt0008489;co0137881
tt0008499;co0064360
tt0008519;co0023400
tt0008519;co0048546
tt0008536;co0057823
tt0008634;co0048238
tt0008652;co0028775
tt0008663;co0088098
tt0008672;co0088098
tt0008679;co0037830
tt0008679;co0069862
tt0008687;co0015800
tt0008710;co0088098
tt0008775;co0047185
tt0008827;co0064360
tt0008843;co0044932
tt0008854;co0035583
tt0008879;co0088098
tt0008891;co0023400
tt0008930;co0048238
tt0008950;co0035583
tt0009014;co0036246
tt0009062;co0035583
tt0009086;co0077055
tt0009150;co0047533
tt0009150;co0054061
tt0009150;co0054813
tt0009153;co0048238
tt0009241;co0018259
tt0009326;co0018259
tt0009356;co0093724
tt0009369;co0137295
tt0009440;co0048546
tt0009475;co0020210
tt0009559;co0054813
tt0009608;co0046754
