movie_id;french_title;original_title;year;duration;rating;num_rate;budget
tt0331811;11:14;11:14;2003;86.0;7.2;45037.0;6000000.0
tt0416449;300;300;2006;117.0;7.6;735564.0;65000000.0
tt8579674;1917;1917;2019;119.0;8.3;439726.0;95000000.0
tt0078723;1941;1941;1979;118.0;5.8;31504.0;35000000.0
tt0087803;1984;Nineteen Eighty-Four;1984;113.0;7.1;66988.0;4110000.0
tt1190080;2012;2012;2009;158.0;5.8;354979.0;200000000.0
tt0271935;15-août;15-août;2001;90.0;5.6;876.0;8775000.0
tt4799050;# Pire soirée;Rough Night;2017;101.0;5.2;47545.0;20000000.0
tt9828918;#jesuislà;#jesuislà;2019;97.0;5.8;744.0;
tt1022603;(500) jours ensemble;(500) Days of Summer;2009;95.0;7.7;474498.0;7500000.0
tt0770703;(S)ex List;What's Your Number?;2011;106.0;6.1;72896.0;20000000.0
tt0059578;...et pour quelques dollars de plus;Per qualche dollaro in più;1965;132.0;8.2;234320.0;600000.0
tt1038988;[Rec];[Rec];2007;78.0;7.4;166276.0;1755000.0
tt1245112;[Rec] ²;[Rec]²;2009;85.0;6.5;69002.0;5600000.0
tt2379713;007 Spectre;Spectre;2015;148.0;6.8;386624.0;245000000.0
tt0119247;1 chance sur 2;1 chance sur 2;1998;104.0;5.8;2418.0;32000000.0
tt0147800;10 bonnes raisons de te larguer;10 Things I Hate About You;1999;97.0;7.3;300142.0;30000000.0
tt1179933;10 Cloverfield Lane;10 Cloverfield Lane;2016;103.0;7.2;292683.0;15000000.0
tt0120623;1001 pattes;A Bug's Life;1998;95.0;7.2;267955.0;120000000.0
tt0050083;12 hommes en colère;12 Angry Men;1957;96.0;9.0;695871.0;350000.0
tt2024544;12 Years a Slave;12 Years a Slave;2013;134.0;8.1;645016.0;20000000.0
tt6135348;120 battements par minute;120 battements par minute;2017;143.0;7.4;13594.0;6299162.0
tt1542344;127 heures;127 Hours;2010;94.0;7.5;349702.0;18000000.0
tt0103594;1492 : Christophe Colomb;1492: Conquest of Paradise;1992;154.0;6.5;28307.0;47000000.0
tt0450232;16 blocs;16 Blocks;2006;102.0;6.6;126441.0;52000000.0
