prod_id;name
co0000020;Polar Entertainment Corporation
co0000024;Cinares production
co0000026;Raejoe Productions Inc.
co0000028;Evergreen Productions
co0000035;Friday X Productions
co0000036;Rita Filmes
co0000037;Government of Canada
co0000042;The Goatsingers
co0000044;Kom-teatteri
co0000049;Insignia Films
co0000050;Maura International Films
co0000051;Producciones Corsa S.A.
co0000059;Autumn Pictures
co0000063;Film Four International
co0000069;Luther Davis Productions
co0000070;African Film Productions
co0000075;Sanford
co0000077;Eastern Television
co0000094;Fearless Productions
co0000096;Bharatbala Productions
co0000099;Rico Lion
co0000101;Filmförderung Hessen
co0000106;Bizarre Productions
co0000111;Ukrainian Ministry of Arts & Culture
co0000121;Rofima Cinematografica
co0000130;Darlow Smithson Productions
co0000133;Sociedad General de Televisión (Sogetel)
co0000136;Jean-Bernard Fetoux
co0000148;Linksun International
co0000152;Pierre David
co0000155;WMG Pictures
co0000163;Agresti Films
co0000167;China Television (CTV)
co0000179;Société Nouvelle Cinévog
co0000181;Craftsman Productions
co0000192;Union Technique Cinematographique S.A. (UTC)
co0000197;Savino Brothers
co0000206;Baumgarten
co0000212;Film-e-Aval
co0000214;Studios Idefix
co0000216;Film Bangkok
co0000235;Angel Venture
co0000238;Three Pictures
co0000245;Nomadis Images
co0000246;Media Suits
co0000266;Udruzenje Filmskih Umetnika Srbije (UFUS)
co0000267;Apple
co0000270;Cold River
co0000271;Carolco International N.V.
co0000272;Zip Zap Produktion
co0000273;Sweetwall
co0000275;MR Filmproduktion
co0000278;Bella Productions
co0000284;Alamo Films
co0000294;Gothic Pictures
co0000295;Film Workshop
co0000297;Arsenal Film
co0000298;Spelson Productions
co0000301;Family Productions
co0000312;Smiley Productions
co0000316;First Floor Features
co0000324;Action Concept Film- und Stuntproduktion
co0000328;Framer Films
co0000336;Damage Control Productions
co0000341;Drowning on Dry Land, Llc.
co0000343;Merit
co0000345;Halestorm Entertainment
co0000357;Joseph M. Schenck Productions
co0000368;Dister Group
co0000375;Destination Earth LLC
co0000376;VISS
co0000379;Copro Films
co0000381;Media Services
co0000384;Office Kitano
co0000385;L'écran d'Art
co0000386;Pacific Cinematografica
co0000393;Sunlight Pictures
co0000397;Distinguished Features
co0000399;Produzioni Cinematografiche Mediterranee (PCM)
co0000401;Per Holst Film AS
co0000406;Canada Television & Cable Production
co0000412;Max Films Productions
co0000415;Bartlebyfilm
co0000417;Pigeon Creek Films
co0000418;K-Star
co0000424;Generalitat de Catalunya - Departament de Cultura
co0000427;United Pictures Organization
co0000440;Ministry of Culture for the Republic of Macedonia
co0000444;Films RSL
co0000450;Axis Films
co0000452;Tomboy Films
co0000456;12 Gauge Productions
co0000461;Pesen Film
co0000464;Foli Productions & Z Pictures
co0000466;JayJen Productions
co0000467;Conquest of the Deeps Limited and Company
co0000478;Producctiones Rodaje Ltd.
co0000483;Romfilm
co0000488;Rogers & Cowan/PMK
co0000493;Jaquet
co0000494;KPVI
co0000507;Jugoslavija Film
co0000510;CineWild
co0000515;Longwick Film
co0000520;Panorama Films
co0000522;Pacifica Film Distribution
co0000524;Producciones Cabo S.A.
co0000527;Sega of America
co0000532;Distant Corners Entertainment Group Inc.
co0000534;Universal Studios
co0000540;Luxembourg Film Fund
co0000543;Overseas Film Company
co0000547;Loong Hsiang Films Co.
co0000548;Torres International
co0000550;Compagnie du Production Internationale
co0000552;Shibata Organisation
co0000553;Cinetex Industries
co0000564;Monica-Films
co0000570;Investimage 2
co0000574;Producciones Zacarías S.A.
co0000580;Les Films Osso
co0000582;Whodunit Productions
co0000592;Televicine International
co0000599;Hope Street Entertainment
co0000605;Perdido Productions
co0000612;Angry Films
co0000615;Program de Credits of Impuc
co0000617;Clan Buchanan
co0000623;Fengler Films
co0000634;Shubert Film Corporation
co0000638;Jorge Neves Produção Audiovisual
co0000640;Prometeo Film S.r.l.
co0000653;Daylight Productions
co0000656;Compania Generale Cinematografica
co0000663;PearlCam Productions
co0000671;Naked Man Productions
co0000675;Palladium Productions
co0000680;Roth-Arnold Productions
co0000689;Odeon
co0000697;Acteurs Auteurs Associés (AAA)
co0000700;Icon Entertainment International
co0000703;Cinemec Produzione
co0000705;RAF Industries
co0000709;Concrete Films
co0000724;Tidy Town Pictures
co0000730;Nora Production Group
co0000740;CINAR
co0000741;Ticket Productions
co0000743;Avant Films S.A.
co0000745;Homeless Film Productions
co0000750;SKA Films
co0000756;Twentieth Century Fox
co0000761;Cine XXI
co0000763;Alliance Atlantis Motion Picture Distribution
co0000766;Satyr IX Productions
co0000775;Zimat Consultores
co0000776;International Cinemedia Center
co0000782;BV Films International
