"imdb_id","french_title","original_title","year","duration","rating","num_rate","budget","synopsis","movie_id","genre_id","genre_id-2","name","movie_id-2","country_id","country_id-2","country"
"tt0081721","Vincent et moi","Vincent et moi",1990,100,"6.4",294,NULL,"While sketching one day, 13 year old Jo encounters a mysterious art dealer who buys a few of her drawings and commissions her to do some more. Some time thereafter she reads a news story about a million dollar sale of some drawings of a young Vincent Van Gogh. She enlists the aid of some friends and heads to Amsterdam in search of the mystery man. Or, should she go to 19th century Arles in search of Vincent himself?","tt0081721",9,9,"Drama","tt0081721",60,60,"France"
"tt0087888","Partir, revenir","Partir, revenir",1985,114,"6.3",239,NULL,"Salomé Lerner just finished writing an autobiograpy. She goes to a TV show called ""Apostrophes"", hosted by French TV showman Bernard Pivot. Pivot then imagines a film that could be created from her gripping story. A film entirely made of music because after seeing the young pianist Erik Berchot, Salomé believes seeing her long lost brother, who was a musician as well. A brother she had lost along with her parents in 1943. However, the Lerners did in fact escape the gestapo and might have based themselves in Paris...","tt0087888",9,9,"Drama","tt0087888",60,60,"France"
"tt0087944","Les Fantasmes de Miss Jones","The Princess and the Call Girl",1986,80,"4.8",132,NULL,"Two beautiful look-alike women, one a rich socialite, the other a high-end call girl, switch places to gain new experiences.","tt0087944",9,9,"Drama","tt0087944",60,60,"France"
"tt0088354","La vie de famille","La vie de famille",1985,95,"6.6",178,NULL,"This is an affecting story about a father's attempts to mend the breaches in the relationship between himself and his 10-year-old daughter. Emmanuel (Sami Frey) is the father of Elise (Mara Goyet) by his first marriage, and the stepfather of an older daughter by his second marriage. He tries to make the best of both family relationships by taking off to visit his young daughter on the weekends, but that only makes his new family a little jealous - especially his stepdaughter. She herself is confused about her own relationship with him. After a particularly emotional send-off one weekend, Emmanuel and Elise take a trip from the south of France into Spain, working on a film project. Through a series of round-about conversations, Emmanuel manages to open up a few channels of communication with Elise - channels that expand even wider when he uses the technique of talking into her video camera to express thoughts and feelings that otherwise would have remained hidden.","tt0088354",9,9,"Drama","tt0088354",60,60,"France"
"tt0088383","Adieu Bonaparte","Adieu Bonaparte",1985,115,"6.4",276,NULL,"A story during the French Occupation of Egypt (1797-1803), depicting the conflict between tradintion and modernization in the context of fighting the French invadors.","tt0088383",9,9,"Drama","tt0088383",60,60,"France"
"tt0088714","L'amour braque","L'amour braque",1985,101,"6.3",841,NULL,"After the successful bank robbery Micky hopes to take back his girlfriend Mary who has been taken from him by the brothers Venin. On the way to Paris he meets one Leon, a neurotic and dreamer, whom he and his associates consider an idiot. Leon can hardly understand what Micky is up to but he follows him everywhere and soon falls in love with Mary. This strange love triangle resolves in a tragic ending. Strange it may seem but the credits tell us that ""The film is inspired by Dostoyevsky's ""The Idiot"" and intended as a homage to the great writer"".","tt0088714",9,9,"Drama","tt0088714",60,60,"France"
"tt0088768","Rouge baiser","Rouge Baiser",1985,112,"6.6",267,NULL,"1952, Paris. Nadia, a Red Diaper baby, has a sister, Polish parents, and at 15 is an active Communist. When cops beat her during an anti-American demonstration, she's rescued by a ""Match"" photographer. As the friendship becomes a love affair and her slogans are tested by new knowledge and emotion, some of the Red youth want to expel her. When she goes with Stéphane to a seaside photo shoot, her father goes to the police. Stéphane faces charges, so leaving to cover the war in Indochina looks appealing. In a parallel story, Nadia's mother meets again her prewar lover, released from Siberia, who challenges the French Reds with very real scars and word of Stalin's anti-Semitism.","tt0088768",9,9,"Drama","tt0088768",60,60,"France"
"tt0089055","Dressage","Dressage",1986,98,"4.9",138,NULL,"At a gathering of would-be society debauchees, the Baron Plessis de Regard and the attractive young Nathalie hatch their individual plans to use sex to respectively ruin and punish their selected enemies. The Baron's plan is to scupper the political ambitions of right-wing parliamentary candidate Colonel Montvilliers by setting him up with a sexy female companion and publicly exposing his new-found vices. He chooses Eliane to give private classes for Montvilliers' son, Robert. Nathalie's quest is of a more personal nature, to destroy her estranged father Charles Leroy-Merville by corrupting his innocent 17-year-old daughter Sophie, a task she intends to achieve by securing employ as the girl's summer tutor.","tt0089055",9,9,"Drama","tt0089055",60,60,"France"
"tt0089061","Dust","Dust",1985,88,"6.2",195,NULL,"A South African spinster (Jane Birkin) murders her father (Trevor Howard) after he rapes the wife of the black foreman for his plantation.","tt0089061",9,9,"Drama","tt0089061",60,60,"France"
"tt0089066","Détective","Détective",1985,95,"5.9",1760,NULL,"In a palace of Paris. Two detectives are investigating a two-year-old murder. Emile and Francoise Chenal are putting pressure on Jim Fox Warner, a boxing manager, who owes them a huge amount of money. But Jim also owes money to the Mafia, and it seems the boxing match he is counting on to bail out will not be sufficient...","tt0089066",9,9,"Drama","tt0089066",60,60,"France"
