imdb_id;query;title;year;similarity
;;Biscuit le chien fantastique;2025;1
;;Rental Family - Dans la vie des autres;;
;;N121 - Bus de nuit;2026;1
;;À pied d'œuvre;2025;0.897
;;Marsupilami;2025;1
;;Le gâteau du président;2025;1
;;The Mastermind;2025;1
;;À demain sur la lune;2025;1
;;Retour à Silent Hill;2026;1
;;Stray Kids: The dominATE Experience;2026;1
;;Le grand Phuket;2024;1
;;Dis-moi sur quel pied tu danses;2025;1
;;La lumière ne meurt jamais;2025;1
;;Amadou et Mariam: Sons du Mali;2026;1
;;200 % Loup;2024;0.947
;;Les âmes bossales;2024;1
;;With Love;2026;1
;;Ashakal Aayiram;2026;1
;;;;
;;;;
tt32897959;"""Hurlevent""";Hurlevent;2026;0.9
tt36841139;LOL 2.0;LOL 2.0;2026;1
tt27613895;Goat - rêver plus haut;Goat: Rêver plus haut;2026;0.93
tt1527793;Aucun autre choix;Aucun autre choix;2026;1
tt36508034;Les Enfants de la Résistance;Les enfants de la Résistance;2026;1
tt38781723;L'Infiltrée;L'infiltrée;2026;1
tt35513027;Les Dimanches;Les dimanches;2026;1
tt35715953;Urchin;Urchin;2026;1
tt8036976;Send Help;Send Help;2026;1
tt37833058;Soulèvements;Soulèvements;2025;1
tt38504753;Sainte-Marie-aux-Mines;Sainte-Marie-aux-Mines;2026;1
tt35512802;Les Immortelles;Les immortelles;2026;1
tt34966650;It's Never Over, Jeff Buckley;It's Never Over, Jeff Buckley;2026;1
tt21423786;The Dangers in my Heart: The Movie;The Dangers in My Heart;2023;0.807
tt35340614;Les Voyages de Tereza;Les Voyages de Tereza;2026;1
tt33246258;Sur les chemins du temps;Sur les chemins du temps;2024;1
tt39276864;Serge Lama - le film;Serge Lama: Le Film;2026;0.923
;;;;
;;;;
tt31969779;O'Romeo;O' Romeo;2026;0.933
tt36313062;Le Rêve américain;Le rêve américain;2026;1
tt32916440;Marty Supreme;Marty Supreme;2026;1
tt27564844;Iron Lung;Iron Lung;2026;1
tt28755718;Iron Lung;Iron Lung;2024;1
tt34688195;Coutures;Coutures;2026;1
tt22237964;Le Mystérieux regard du flamant rose;Le mysterieux regard du flamant rose;2026;0.972
tt8879928;Cold Storage;Cold Storage;2026;1
tt36642485;Le Rire et le couteau;Le rire et le couteau;2025;1
tt33509147;Maigret et le mort amoureux;Maigret et le mort amoureux;2026;1
tt32622406;Un monde fragile et merveilleux;Un monde fragile et merveilleux;2026;1
tt29516588;Un monde fragile et merveilleux;Un monde merveilleux;2024;0.784
tt28639152;Super Charlie;Super Charlie;2026;1
tt30400277;Kiss Of The Spider Woman;Kiss of the Spider Woman;2025;1
;;La Famille Addams;;
tt39313510;Chase Atlantic: Lost In Heaven;Chase Atlantic: Lost in Heaven;2026;1
tt38682838;Au-delà de Katmandou;Au-delà de Katmandou;2026;1
tt11167744;Saveurs d'Exil;Saveurs d'exil;2026;1
tt22505724;Saveurs d'Exil;Les saveurs de Noël;2023;0.667
tt32306046;La Femme cachée;La Femme cachée;2024;1
tt32881135;Green Line;Green Line;2024;1
;;Les Filles;;
tt27502426;Les Filles;Les filles d'Olfa;2023;0.741
;;Esprit(s) rebelle(s);;
;;La Mémoire, quelle histoire;;
;;Jeune Pousse;;
tt31688586;Nouvelle Vague;Nouvelle Vague;2025;1
tt27047903;Scream 7;Scream 7;2026;1
tt10784134;Scream 7;BD Scream 7;2025;0.842
tt36959545;ATHOS - Au coeur de la Patrouille de France;ATHOS - Au cœur de la Patrouille de France;2026;0.965
tt35405429;Chers parents;Chers parents;2026;1
tt39315536;Twenty One Pilots: More Than We Ever Imagined;Twenty One Pilots: More Than We Ever Imagined;2026;1
tt15799524;Le Son des souvenirs;Le son des souvenirs;2026;1
tt35003538;EPiC: Elvis Presley in Concert;EPiC: Elvis Presley in Concert;2026;1
tt27052428;Orwell: 2+2=5;Orwell: 2+2=5;2026;1
tt36631507;Woman And Child;Woman and Child;2026;1
tt32429174;Rue Malaga;Rue Malaga;2026;1
tt28083456;Is This Thing On?;Is This Thing On?;2026;1
tt38630411;Un été à la ferme;Un été à la ferme - L'âge d'or;2026;0.723
;;The Grandmaster;;
tt36816334;The Grandmaster;The Grandmaster;2025;1
tt21867164;The Grandmaster;Tales of the Grandmaster;2023;0.769
;;5 centimètres par seconde;;
tt33477484;5 centimètres par seconde;5 Centimètres par seconde;2025;1
tt36053783;5 centimètres par seconde;Trois-cent mille kilomètres par seconde;2025;0.719
;;James et la pêche géante;;
tt33319588;Welcome to Europe;Welcome to Europe;2026;1
tt28649304;Justa;Justa;2025;1
;;Les Femmes Savantes (Comédie-Française);;
tt37267830;Quartier libre;Quartier libre;2026;1
;;Nosferatu, fantôme de la nuit;;
;;La Famille Homolka;;
;;La Ballade de Bruno;;
;;Tenir debout;;
;;L'Énigme de Kaspar Hauser;;
;;A Rising Fury;;
;;Ennemis intimes;;
;;Les Nains aussi ont commencé petits;;
;;Echos d'un sombre empire;;
;;Leçons de ténèbres;;
;;Giselle (The Royal Ballet);;
