actor_id;name
nm16807382;Abishan Jeevinth
nm14970091;Kavya Anil
nm12444018;Ishaani Krishna
nm18117525;Akhil Nrd
nm10221167;Bang Chan
nm14940494;Lee Know
nm10221170;Seo Changbin
nm10221169;Hwang Hyun-jin
nm10221171;Han Jisung
nm10221172;Felix Lee
nm10221173;Kim Seungmin
nm10221174;Yang Jeong-in
nm10104485;Stray Kids
nm16163231;Sarah Georgina
nm16163232;Janice Petersen
nm16163233;Heather Mitchell
nm16163234;Michael Bourchier
nm16163235;Sarah Harper
nm16163236;Anna Nguyen
nm16098747;Shirley Yao
nm16163238;Matias Biondi
nm8832867;Eden Diebel
nm6110956;Agatha Ozdowska
nm2376956;Jonathan Tappin
nm6421417;Caz Prescott
nm6213204;Ant Simpson
nm2119083;Arthur Raynal
nm1695913;Marjorie Frantz
nm17895228;Penny Padilla
nm16070800;Mila Pointet
nm9674561;Kendell Byrd
nm12806810;Etienne Moana
nm15736838;You Junfen
nm8540734;Hang Kang
nm15736837;Li Rongkun
nm13412188;Xuan Yang
nm14689855;Liu Hui Yuan
nm7494679;Azad Boutella
nm17079032;Beidja Yahiaoui
nm13958549;Lahcen Kourkdane
nm18190880;Amine Boughanem
nm18190883;Thibault Dyevre
nm18190881;Wissam Toubal
nm15211126;Sofia Ghoul
nm18190882;Sami Amara
nm8679431;Noémie Desbordes
nm17253979;Baneen Ahmad Nayyef
nm17253981;Waheed Thabet Khreibat
nm17253980;Sajad Mohamad Qasem
nm17368629;Muthanna Malaghi
nm17368635;Ahmad Qasem Saywan
nm17368631;Maytham Mreidi
nm9286783;Rahim AlHaj
nm17368622;Thaer Salem
nm17368639;Ali Khalaf
nm17368630;Fatima Abouharoon
nm17368619;Mahmoud Mazen Lazen
nm17368640;Aqeel Wadi
nm17368623;Mohammed Rheimeh
nm17368632;Rokia Alwadi
nm17368624;Ali Saddam Najem
nm17368620;Abdelkarim Jasim
nm17368637;Mohammad Qasem
nm17368638;Raed Harbi Abdeljalil
nm9587585;Elaf Mohamed
nm17368627;Ahmed Al-Hayali
nm17368628;Mohammed Zaid
nm17368633;Al-Hassan Adnan
nm17368625;Mohammed Ammar
nm17368636;Ahmad Hameed Ahmad
nm17368621;Haidar Jamal Jaber
nm17368634;Aqeel Al Shamri
nm17368626;Tayseer Ibrahim Radi
nm17368618;Nadia Rashak
nm5960628;Ross Gosla
nm1181028;Haydn Dalton
nm10885467;Noah Fearnley
nm8126223;Konstantin Podprugin
nm7898459;Cully Pratt
nm3578394;Philicia Saunders
nm8523844;Mahmoud Mahmoud
nm17367360;Evgenia Sinitsin
nm4683179;Renata Ribeiro
nm7279374;Mike Tarnofsky
nm6778277;John Bubniak
nm14645049;Tom Rezvan
nm5719426;Kory Ison
nm3682536;Veronica Rose
nm9172222;Samuel Kujala
nm16101477;Anna Rosaliina Kauno
nm12421526;Camille Auer
nm4896725;Kaisa-Leena Koskenkorva
nm5036982;Matti Mustonen
nm17286530;Sterling Thompson
nm17286529;Jasper Thompson
nm17036568;Reighan Bean
nm8887517;Katie Hubbard
nm10088160;Margot Anderson-Song
nm11058765;Avery Deutsch
nm12404892;Marc Ross
nm9100847;Rick Dutrow
nm17694853;Mauricio Soliz
nm14452039;Kade Clarks
nm9731768;Mark Antony Howard
nm16093416;Fleur Bremmer
nm0791060;Michael Sheldon
nm9386976;Blake Kubena
nm11073708;Jonty Peach
nm4956602;Laurence Pears
nm18156898;Waguih Abdel Messeeh
nm1870495;Namir Abdel Messeeh
nm16371623;Corentin Guillot
nm13125057;Adeline Tayoro
nm7365505;Arthur Sanigou
nm18016562;Jean-Philippe Paravisini
nm3109387;Enlil Albanna
nm5387853;Alexis Boucot
nm18016560;Cédric Rigaut
nm13512306;Raphaëlle Simon
nm5929441;Mazigh Bouaich
nm15625879;Sonia Imbert
nm18119639;Alexandre Malesson
nm3364202;Alex Elliott
nm18119637;Charlotte Houdin
nm10107229;Youri Lauriette
nm11256465;Costa Canda
nm18119640;Lenni Prezelin
nm4408107;David Dixon
nm6712565;Jenn Rogan
nm13196568;Mela Pietropaolo
nm12348946;Dawson Littman
nm16200804;Zac Bennett-McPhee
nm17337376;Debora Lobe Naney
nm17337366;Foued Zaazaa
nm17337368;Estelle Kenza Dpgbo
nm17337372;Touré Blamassi
nm17337373;Roxanne Takouri
nm17337375;Marie-Noël Ngwe
nm17337377;Elisabeth Kongolo Badibanga
nm17337374;Zohe Malunda
nm17337371;Elly Franck Biboum
nm17337378;David Emmanuel Biboum
nm17337367;Yate Amos Bebo
nm17337382;Viviane Boudouaahou
nm17337383;Kouakou William Konan
nm17337381;Yao Koff Siméon
nm17337379;Charlotte Ourega
nm17337369;Flora Bozoua
nm17337380;Jean Claude Yué
nm17337370;Christ Jordan
nm12228526;Xuanyu Chen
nm16584229;Zixing Wang
nm3646467;Liguo Yuan
nm15076133;Giovanna Guida
nm2868733;Linda Messerklinger
nm0230524;Rufin Doh Zeyenouin
nm8211806;Alexandra Gottschlich
nm6544282;Tommaso Amadio
nm7754171;Shablo
nm18052328;Alessandro Salvatori
nm18052329;Elisa Perolini
nm18052330;Giorgia Liguori
nm11110378;Giulio Prosperi
nm18052326;Ernesto Caccetta
nm18052327;Alessia Santini
nm5111206;Federica Corti
nm13378887;Ferdinand Niquet-Rioux
nm16981282;Mike Bujoli
nm13824844;Marlon Macias
nm18175481;Inès Dumont
nm18175482;Akira Seto-Chaumet
nm8247271;Hassen Bouchakour
nm18170986;Ljiljana Velimirov
nm12024632;Evie Templeton
nm1273937;Nicola Alexis
nm4517780;Martine Richards
nm1475071;Howard Saddler
nm10547340;Matteo Pasquini
nm5966262;Rhiannon Moushall
nm11104879;Masa Anic
nm16102868;Ljudmila Korobova
nm17881739;Ana Obradovic
nm11764735;Anastasija Kanazarevic
nm9295814;Tamara Ristoska
nm4968581;Jasper Salon
nm12562409;Mamadou Diallo
nm18188844;Thelma Pourias
nm18188838;Oscar Tillette
nm18188845;Eve Oron
nm18188846;Benoît Carre
nm10855187;Ahlam Slama
nm18188839;Hélène Rimenaid
nm18188843;Carmen Kouyaté
nm18188840;Sacha Wintz
nm17354417;Rei Watanabe
nm4753974;Maly Diallo
nm18188842;Marie Aubrun
nm17346364;Isabelle Goev
nm16206308;Soufiane Sarr
nm17983864;AJ Brown
nm17983858;Arla Brown
nm11175358;Darren Stewart
nm11175357;Jamie Forde
nm16777927;Cara Cullen
nm17625043;Sophie McNamara
nm11542964;Kane O'Connell O'Flynn
nm16156575;Taylor Lee-Keating
nm9619294;Ciaran McCarthy
nm10740698;Lewis Brophy
nm9097601;Aaron Katambay
nm17625044;Ian Tabone
nm17983859;Keano Power
nm17983868;Tim Roche
nm17869825;Garry McCarthy
nm17983865;Sophie McCarthy
nm17983862;Christine McSweeney
nm17983866;Jordan Kelly
nm17983867;Michael O'Donoghue
nm17983863;Aaron Hayes
nm9589293;Isaac Hernández
nm17110324;Julio Bernal
nm8980687;René Martínez
nm17110331;Nadia Chiney
nm9013869;Nadia Flamenco
nm14353696;Ali Kiley
nm12365717;Areyla Faeron
nm17110344;Rafael Jiménez
nm17110354;Ana Echeverría
nm17110357;Azarel Govea
nm17110347;Brenda Alardín
nm17110326;Bryant Pineda
nm17110358;Camila Medellín
nm17110330;Carla Benassini
nm14982255;Germán Martínez
nm2968982;Helena Alonso
nm17110351;Jimena Esqueda Hernández
nm17110325;Karen Breidsprecher Wong
nm17110350;Leonardo Puchet
nm17110345;Mariana Arroyo Tinoco
nm17110346;Sinuhé Villalón
nm17110321;Martha Elena Trejo O'reilly
nm15474710;Magali Hernández
nm17679143;Yuma Sonan
nm14273609;Kana Kitty
nm4301776;Sonoe Mizoguchi
nm13576387;Kimura Bun
nm3953885;Tsutomu Osabe
nm14623037;Rei Yukinaga
nm13984819;Shiho Asami
nm17872723;Seiga
nm17872722;Kazue Oda
nm12009149;Kan Kobayashi
