movie_id;actor_id;status
tt35404853;nm0452161;
tt35404853;nm4544506;
tt35404853;nm9737150;
tt35404853;nm16533347;
tt35404853;nm18329093;
tt35404853;nm15772434;
tt35404853;nm12537581;
tt35404853;nm1533577;
tt35404853;nm17690655;
tt35404853;nm12153504;
tt35404853;nm1039800;
tt35404853;nm10588346;
tt35404853;nm0667664;
tt35404853;nm5191162;
tt35404853;nm16590404;
tt35404853;nm11325878;
tt35404853;nm18352280;
tt35404853;nm11748918;
tt35404853;nm18352281;
tt35404853;nm18352279;
tt35404853;nm18352282;
tt35404853;nm15896188;
tt35404853;nm18352278;
tt35404853;nm17947707;
tt33549447;nm0000293;
tt33549447;nm3890987;
tt33549447;nm9167803;
tt33549447;nm0125348;
tt33549447;nm6641256;
tt33549447;nm8262541;
tt33549447;nm16809147;
tt33549447;nm0000358;
tt33549447;nm0283912;
tt33549447;nm0334262;
tt33549447;nm2851524;
tt33549447;nm0608090;
tt33549447;nm11087705;
tt33549447;nm17424067;
tt33549447;nm4736095;
tt33549447;nm4538406;
tt33549447;nm14877236;
tt4357198;nm1412974;
tt4357198;nm0525702;
tt4357198;nm5309709;
tt4357198;nm15181286;
tt4357198;nm0584206;
tt4357198;nm0000438;
tt4357198;nm14579839;
tt4357198;nm8998232;
tt4357198;nm17004248;
tt4357198;nm15206552;
tt4357198;nm18235803;
tt4357198;nm18235804;
tt4357198;nm13054067;
tt4357198;nm18235805;
tt4357198;nm0562087;
tt4357198;nm11008794;
tt4357198;nm8439952;
tt4357198;nm18235806;
tt4357198;nm3678893;
tt4357198;nm4960279;
tt4357198;nm3306943;
tt4357198;nm3834174;
tt4357198;nm14483264;
tt4357198;nm9714176;
tt4357198;nm12959750;
tt4357198;nm0131966;
tt4357198;nm0055264;
tt4357198;nm5661187;
tt4357198;nm2046855;
tt4357198;nm4166399;
tt31728330;nm5939164;
tt31728330;nm0000099;
tt31728330;nm9684601;
tt31728330;nm0430667;
tt31728330;nm0271657;
tt31728330;nm0001287;
tt31728330;nm8279570;
tt31728330;nm7905996;
tt31728330;nm5520267;
tt31728330;nm15171071;
tt31728330;nm0001664;V
tt31728330;nm0332366;
tt31728330;nm0400220;
tt31728330;nm2378861;
tt31728330;nm17275932;
tt31728330;nm1409827;
tt31728330;nm0760151;
tt31728330;nm3529717;
tt31728330;nm17220036;
tt31728330;nm8019086;
tt31728330;nm18371207;
tt31728330;nm12106745;
tt31728330;nm1157771;
tt31728330;nm0809770;
tt31728330;nm7055482;
tt31728330;nm18371208;
tt31728330;nm13253038;
tt31728330;nm10172956;
tt31728330;nm13944738;
tt31728330;nm6658361;
tt6930962;nm10765335;
tt6930962;nm0328828;
tt6930962;nm0542118;
tt6930962;nm3227473;
tt6930962;nm0550578;
tt6930962;nm0209035;
tt6930962;nm12878952;
tt38649153;nm2567228;V
tt38649153;nm3329362;V
tt38649153;nm2437373;V
tt38649153;nm1101677;V
tt38649153;nm3172466;V
tt38649153;nm3159465;V
tt38649153;nm1132505;V
tt38649153;nm0409291;V
tt38649153;nm1778495;V
tt38649153;nm7654892;V
tt38649153;nm3620483;V
tt38649153;nm6925573;V
tt38649153;nm1145592;V
tt38649153;nm1878161;V
tt38649153;nm1855014;V
tt38649153;nm3040274;V
tt38649153;nm2790856;V
tt38649153;nm15429402;V
tt38649153;nm0619828;V
tt38649153;nm4868981;V
tt38649153;nm0644527;V
tt38649153;nm2462004;V
tt38649153;nm4986657;V
tt38649153;nm3883152;V
tt38649153;nm3017331;V
tt38649153;nm6925574;V
tt38649153;nm0837523;V
tt38649153;nm6145345;V
tt38649153;nm5408751;V
tt38649153;nm10273089;V
tt13597298;nm0582889;
tt13597298;nm4262803;
tt13597298;nm1943625;
tt13597298;nm0786742;
tt13597298;nm5278871;
tt13597298;nm8530725;
tt13597298;nm6726627;
tt13597298;nm2045636;
tt13597298;nm0167995;
tt13597298;nm0091080;
tt13597298;nm2326818;
tt13597298;nm2097868;
tt13597298;nm18348481;
tt13597298;nm6713818;
tt13597298;nm18348480;
tt13597298;nm4750255;
tt13597298;nm5628167;
tt13597298;nm18348479;
tt13597298;nm5839579;
tt13597298;nm8701318;
tt13597298;nm4587994;
tt13597298;nm11996725;
tt35695538;nm5444837;
tt35695538;nm17285089;
tt35695538;nm17285088;
tt35695538;nm17523526;
tt35695538;nm17523525;
tt35695538;nm17203660;
tt35695538;nm9298476;
tt35695538;nm14149445;
tt35695538;nm12660844;
tt35695538;nm7867176;
tt35695538;nm9702923;
tt35695538;nm13166346;
tt35695538;nm10623301;
tt35695538;nm17502831;
tt35695538;nm15222405;
tt35695538;nm14863201;
tt35695538;nm16852214;
tt35695538;nm17502832;
tt35695538;nm17502830;
tt35695538;nm14098541;
tt35695538;nm12478784;
tt35695538;nm17354618;
tt35695538;nm14510567;
tt35695538;nm17502835;
tt35695538;nm14508811;
tt35695538;nm17502827;
tt35695538;nm17502833;
tt35695538;nm12899361;
tt35695538;nm17502834;
tt35695538;nm17502829;
tt31325397;nm0693799;
tt31325397;nm0000782;
tt31325397;nm4297691;
tt31325397;nm12493746;
tt31325397;nm1465580;
tt31325397;nm12471688;
tt31325397;nm0347555;
tt31325397;nm10746495;
tt31325397;nm4146245;
tt31325397;nm14517643;
tt31325397;nm15557101;
tt31325397;nm18323183;
tt31325397;nm13148796;
tt31325397;nm17984082;
tt31325397;nm15114236;
tt31325397;nm10824769;
tt31325397;nm17087028;
tt31325397;nm7816580;
tt31325397;nm17087017;
tt31325397;nm18323182;
tt17499010;nm9628639;
tt17499010;nm11403645;
tt17499010;nm8284971;
tt17499010;nm1328859;
tt17499010;nm4391133;
tt11611166;nm0484005;
tt11611166;nm5985023;
tt11611166;nm0308009;
tt11611166;nm0221029;
tt11611166;nm10996279;
tt11611166;nm9619250;
tt11611166;nm1327467;
tt11611166;nm15549834;
tt11611166;nm6945658;
tt35889287;nm10750415;
tt35889287;nm9222902;
tt35889287;nm15981664;
tt35889287;nm8879871;
tt35889287;nm18163332;
tt35889287;nm18163329;
tt35889287;nm2997552;
tt35889287;nm8748509;
tt35889287;nm1889887;
tt35889287;nm11992534;
tt35889287;nm3766691;
tt35889287;nm7286379;
tt35889287;nm18163336;
tt35889287;nm1603574;
tt35889287;nm0168783;
tt35889287;nm17658594;
tt35889287;nm5777570;
tt35889287;nm7497734;
tt35889287;nm18163326;
tt35889287;nm4983322;
tt35889287;nm18163334;
tt35889287;nm18163330;
tt35889287;nm4457665;
tt35889287;nm18163327;
tt35889287;nm0332363;
tt35889287;nm3465445;
tt35889287;nm18163328;
tt35889287;nm2621752;
tt35889287;nm5839733;
tt35889287;nm3275415;
tt26733325;nm2020109;
tt26733325;nm6946196;
tt26733325;nm9427099;
tt26733325;nm17300375;
tt26733325;nm15649502;
tt26733325;nm3492981;
tt26733325;nm11612718;
tt26733325;nm3118375;
tt26733325;nm9566292;
tt26733325;nm7436747;
tt26733325;nm17961491;
tt26733325;nm4546188;
tt26733325;nm17961492;
tt26733325;nm18094264;
tt26733325;nm8753437;
tt26733325;nm15527746;
tt26733325;nm15967528;
tt26733325;nm18093731;
tt26733325;nm18094253;
tt26733325;nm18094266;
tt26733325;nm18094263;
tt26733325;nm15082820;
tt26733325;nm18094265;
tt26733325;nm18094261;
tt26733325;nm18094252;
tt26733325;nm10970879;
tt26733325;nm17294424;
tt26733325;nm18094232;
tt26733325;nm18094244;
tt26733325;nm18094255;
tt32244884;nm17257167;
tt32244884;nm12937144;
tt32244884;nm10932900;
tt32244884;nm17257168;
tt32244884;nm17257169;
tt32244884;nm3107550;
tt32244884;nm17505772;
tt32244884;nm10442542;
tt32244884;nm5677541;
tt32244884;nm2139123;V
tt32244884;nm17505768;V
tt32244884;nm14338395;
tt32244884;nm17505773;
tt32244884;nm17505769;
tt32244884;nm17505770;
tt32244884;nm17505774;V
tt32244884;nm17505771;
tt34812090;nm0475737;V
tt34812090;nm13493126;V
tt34812090;nm0258268;V
tt34812090;nm9863671;V
tt34812090;nm0354490;V
tt34812090;nm5015779;V
tt34812090;nm7462725;V
tt34812090;nm13793448;V
tt34812090;nm2149187;V
tt34812090;nm5842715;
tt34812090;nm0485670;V
tt34812090;nm10853569;
tt34812090;nm5203099;V
tt34812090;nm0620657;V
tt34812090;nm5518109;V
tt34812090;nm6798519;V
tt34812090;nm0651532;V
tt34812090;nm0960033;V
tt34812090;nm1328076;V
tt34812090;nm0793585;V
tt34812090;nm1142722;V
tt34812090;nm13132123;V
tt34812090;nm0847439;V
tt34812090;nm2583829;V
tt34812090;nm0199965;V
tt34812090;nm0945290;V
tt21257788;nm17476945;
tt21257788;nm1128006;
tt21257788;nm17476948;
tt21257788;nm17476946;
tt21257788;nm17476943;
tt21257788;nm1096341;V
tt21257788;nm1990688;V
tt21257788;nm1484373;V
tt21257788;nm1399222;V
tt21257788;nm17476942;V
tt21257788;nm17476947;V
tt32279108;nm6199274;
tt32279108;nm0425696;
tt32279108;nm1734895;
tt32279108;nm17293669;
tt32279108;nm1724668;
tt15574270;nm6819854;
tt15574270;nm6617420;
tt15574270;nm11865277;
tt15574270;nm8473220;
tt15574270;nm9924740;
tt15574270;nm4314990;
tt15574270;nm0004890;
tt15574270;nm5423804;
tt15574270;nm8616975;
tt15574270;nm13719668;
tt15574270;nm0072435;
tt15574270;nm3490121;
tt15574270;nm0549535;
tt15574270;nm0848543;
tt15574270;nm10737425;
tt15574270;nm4561678;
tt15574270;nm4150108;
tt15574270;nm3639937;
tt15574270;nm8883328;
tt15574270;nm15751794;
tt15574270;nm15751795;
tt15574270;nm15751796;
tt15574270;nm5353667;
tt15574270;nm13302175;
tt15574270;nm15751797;
tt15574270;nm15751798;
tt15574270;nm15751799;
tt15940132;nm2024927;
tt15940132;nm4150847;
tt15940132;nm8300994;
tt15940132;nm0000598;
tt15940132;nm0005246;
tt15940132;nm2541974;
tt15940132;nm8961553;
tt15940132;nm2920533;
tt15940132;nm16642800;
tt15940132;nm2017335;
tt15940132;nm6671971;
tt15940132;nm12764550;
tt15940132;nm3206486;
tt15940132;nm13164001;
tt15940132;nm5565313;
tt15940132;nm13070376;
tt15940132;nm7822715;
tt15940132;nm9874557;
tt15940132;nm7874089;
tt15940132;nm2558580;
tt15940132;nm0456130;
tt15940132;nm1111884;
tt15940132;nm1004206;
tt15940132;nm18277200;
tt15940132;nm18277211;
tt15940132;nm18277213;
tt15940132;nm1609239;
tt15940132;nm14113593;
tt15940132;nm0400850;
tt15940132;nm4390404;
tt33071426;nm3918035;
tt33071426;nm1500155;
tt33071426;nm6076229;
tt33071426;nm6974206;
tt33071426;nm3687486;
tt33071426;nm5517526;
tt33071426;nm2193120;
tt33071426;nm3793318;
tt33071426;nm4678576;
tt33071426;nm2534638;
tt33071426;nm2925225;
tt33071426;nm0625306;
tt33071426;nm0348515;
tt33071426;nm0154914;
tt33071426;nm3284251;
tt33071426;nm10640258;
tt33071426;nm7744659;
tt33071426;nm1460664;
tt33071426;nm3278700;
tt33071426;nm13985740;
tt33071426;nm1585038;
tt33071426;nm2219208;
tt33071426;nm0125007;
tt28650488;nm0488953;V
tt28650488;nm18364321;V
tt28650488;nm1509478;V
tt28650488;nm0724656;V
