movie_id;director_id
tt35404853;nm1515266
tt33549447;nm9068006
tt4357198;nm3621304
tt31728330;nm5001945
tt6930962;nm4550957
tt38649153;nm0457562
tt13597298;nm10297521
tt35695538;nm2663522
tt31325397;nm0347552
tt26446095;nm1905068
tt17499010;nm3640621
tt11611166;nm1160648
tt35889287;nm3391699
tt26733325;nm4784536
tt32244884;nm2761497
tt34812090;nm1238086
tt21257788;nm6746213
tt32279108;nm16104705
tt15574270;nm5313125
tt15940132;nm0400850
tt33071426;nm5589501
tt28650488;nm1739338
tt28650488;nm2398585
tt28650488;nm2966857
tt28650488;nm6042133
tt39814688;nm1077168
tt31514146;nm0428600
tt39314864;nm0432040
tt32888226;nm1921714
tt27811632;nm0258221
tt23644354;nm6703326
tt32639175;nm2060444
tt35439895;nm2531678
