movie_id;language_id
tt38123566;236
tt37537155;140
tt39216314;64
tt27722575;64
tt35659725;72
tt30959077;143
tt35890599;0
tt36580119;12
tt31050594;64
tt28865633;70
tt28865633;64
tt28865633;72
tt31557492;72
tt31557492;86
tt33455099;64
tt33455099;72
tt29567915;64
tt29567915;78
tt36599377;0
tt33029380;72
tt31777964;72
tt29612071;64
tt33311007;12
tt33311007;72
tt33616511;46
tt33616511;64
tt34886821;105
tt32558601;72
tt35932382;72
tt22868010;64
tt37660587;72
tt32263650;64
tt31710990;64
tt31710990;226
tt14142060;64
tt14142060;106
