movie_id;prod_id
tt38123566;co0963622
tt38123566;co1146986
tt37537155;co0309010
tt39216314;co0283016
tt27722575;co0259327
tt27722575;co0893931
tt27722575;co1072951
tt35659725;co0060537
tt35659725;co1139568
tt35659725;co0001977
tt30959077;co0050485
tt30959077;co0626463
tt30959077;co0761930
tt35890599;co0723474
tt35890599;co0847440
tt35890599;co0191737
tt36580119;co0442328
tt36580119;co1128536
tt36580119;co0979475
tt31050594;co1025982
tt31050594;co0028338
tt31050594;co0676570
tt28865633;co0904328
tt28865633;co0417659
tt31557492;co0608951
tt33455099;co0160719
tt33455099;co0379523
tt29567915;co0073388
tt29567915;co0862488
tt29567915;co0321082
tt36599377;co0370419
tt36599377;co0055455
tt36599377;co0882490
tt33029380;co0022869
tt33029380;co0732567
tt33029380;co0079764
tt31777964;co0151897
tt31777964;co0989060
tt31777964;co0047476
tt29612071;co0558857
tt29612071;co0086994
tt33311007;co0465776
tt33311007;co0797735
tt33311007;co0028557
tt33616511;co1170887
tt34886821;co0779330
tt34886821;co1004675
tt34886821;co1065304
tt32558601;co0141469
tt32558601;co0056755
tt32558601;co0144901
tt35932382;co0268966
tt22868010;co0032081
tt22868010;co0373555
tt22868010;co1094558
tt37660587;co1056911
tt37660587;co0056755
tt37660587;co0028557
tt32263650;co0103694
tt32263650;co0091878
tt32263650;co0104165
tt31710990;co0871985
tt31710990;co0576274
tt31710990;co0730260
tt14142060;co0260911
tt14142060;co1143480
tt14142060;co0625497
