movie_id;french_title;original_title;year;duration;rating;num_rate;budget
tt35404853;Ceux qui comptent;Ceux qui comptent;2026;98;6.2;81;
tt33549447;Anemone - Les racines du mensonge;Anemone;2025;125;5.6;7275;
tt4357198;L'ultime héritier;How to Make a Killing;2026;105;6.5;15114;
tt31728330;They Will Kill You;They Will Kill You;2026;94;6.5;6781;
tt6930962;Walter Lapin;Spiked;2025;85;5.5;42;
tt38649153;Assassination Classroom the Movie : Our Time;Gekijouban Ansatsu Kyoushitsu Minna no Jikan;2026;80;5.6;11;
tt13597298;Julian;Julian;2025;91;6.5;268;
tt35695538;Un jour avec mon père;My Father's Shadow;2025;94;7.5;861;
tt31325397;Plus forts que le diable;Plus forts que le diable;2025;84;6.6;19;
tt26446095;L'odyssée de Céleste;Space Cadet;2025;86;7.5;93;
tt17499010;Love on Trial;Renai Saiban;2025;124;6.5;130;
tt11611166;L'île de la demoiselle;L'île de la Demoiselle;2026;101;7.7;13;
tt35889287;Les Filles du ciel;Les filles du ciel;2026;96;6.8;23;
tt26733325;Une jeunesse indienne;Homebound;2025;119;7.9;12857;
tt32244884;La couleuvre noire;La couleuvre noire;2025;85;7.2;17;
tt34812090;Lupin the IIIrd the Movie: la lignée immortelle;Rupan Sansei za Mûbî Fujimi no Ketsuzoku;2025;93;6.3;226;
tt21257788;Les saisons;As estações;2025;82;5.7;41;
tt32279108;Derrière les drapeaux, le soleil;Bajo las banderas, el sol;2025;90;7.1;105;
tt15574270;I saw the TV glow;I Saw the TV Glow;2024;100;5.8;44579;
tt15940132;War Machine;War Machine;2026;106;6.3;81827;
tt33071426;The Drama;The Drama;2026;105;7.5;11072;
tt28650488;Super Mario Galaxy, le film;The Super Mario Galaxy Movie;2026;98;6.5;20582;
tt39814688;Compostelle;Compostelle;2026;113;6.8;32;
tt31514146;Plus fort que moi;I Swear;2025;120;8.4;34101;
tt39314864;Mauvaise pioche;Mauvaise pioche;2026;90;6.4;27;
tt32888226;Yellow Letters;Gelbe Briefe;2026;127;7.3;852;
tt27811632;Silent Friend;Stille Freundin;2025;147;7.6;1254;
tt23644354;Derrière les palmiers;Derrière les palmiers;2025;94;6.2;22;
tt32639175;Dolly;Dolly;2025;83;5.2;1566;
tt35439895;Holding Liat;Holding Liat;2025;97;6.9;232;
